项目名称,日志文件,检测时间,运行状态,异常信息
javacc-5.0,run_20250604-214802.log,2025-06-04 21:48:02,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: junit.framework.TestCase (are your class path and class name given properly?)"
jfreechart-1.0.13,run_20250604-214804.log,2025-06-04 21:48:04,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: java.awt.Window$1 (are your class path and class name given properly?)"
nekohtml-1.9.14,run_20250604-214806.log,2025-06-04 21:48:06,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: java.awt.Window$1 (are your class path and class name given properly?)"
marauroa-3.8.1,run_20250604-214807.log,2025-06-04 21:48:07,成功,无
weka-3-7-9,run_20250604-214826.log,2025-06-04 21:48:26,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: com.apple.eawt.OpenFilesHandler (are your class path and class name given properly?)"
axion-1.0-M2,run_20250604-214828.log,2025-06-04 21:48:28,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.apache.commons.collections.primitives.IntIterator (are your class path and class name given properly?)"
log4j-1.2.16,run_20250604-214830.log,2025-06-04 21:48:30,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: javax.mail.internet.MimeUtility$1 (are your class path and class name given properly?)"
sandmark-3.4,run_20250604-214831.log,2025-06-04 21:48:31,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: com.sun.jdi.VirtualMachine (are your class path and class name given properly?)"
fitjava-1.1,run_20250604-214833.log,2025-06-04 21:48:33,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: junit.framework.TestCase (are your class path and class name given properly?)"
checkstyle-5.1,run_20250604-214835.log,2025-06-04 21:48:35,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: com.google.common.collect.Lists (are your class path and class name given properly?)"
jasperreports-1.1.0,run_20250604-214837.log,2025-06-04 21:48:37,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.eclipse.jdt.internal.compiler.ast.OperatorExpression$1 (are your class path and class name given properly?)"
quilt-0.6-a-5,run_20250604-214839.log,2025-06-04 21:48:39,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: junit.framework.TestListener (are your class path and class name given properly?)"
jmoney-0.4.4,run_20250604-214841.log,2025-06-04 21:48:41,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: dori.jasper.engine.JRDataSource (are your class path and class name given properly?)"
fitlibraryforfitnesse-20100806,run_20250604-214843.log,2025-06-04 21:48:43,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: util.GracefulNamer (are your class path and class name given properly?)"
drawswf-1.2.9,run_20250604-214844.log,2025-06-04 21:48:44,成功,无
jgrapht-0.8.1,run_20250604-214901.log,2025-06-04 21:49:01,成功,无
jspwiki-2.8.4,run_20250604-214923.log,2025-06-04 21:49:23,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.freshcookies.security.policy.LocalPolicy (are your class path and class name given properly?)"
sunflow-0.07.2,run_20250604-214925.log,2025-06-04 21:49:25,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: org.codehaus.janino.ClassBodyEvaluator (are your class path and class name given properly?)"
jrefactory-2.9.19,run_20250604-214927.log,2025-06-04 21:49:27,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: java.lang.StringBuilder (are your class path and class name given properly?)"
freecol-0.10.7,run_20250604-214929.log,2025-06-04 21:49:29,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: com.jcraft.jorbis.Block (are your class path and class name given properly?)"
jrat-0.6,run_20250604-214931.log,2025-06-04 21:49:31,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: com.sun.jdi.event.MethodEntryEvent (are your class path and class name given properly?)"
james-2.2.0,run_20250604-214932.log,2025-06-04 21:49:32,失败,"Exception in thread ""main"" java.lang.RuntimeException: couldn't find class: java.awt.Window$1 (are your class path and class name given properly?)"
sablecc-3.2,run_20250604-214933.log,2025-06-04 21:49:33,成功,无
